instance,hour,price
$26.688 per On Demand Linux x1e.32xlarge,0.176,4.70
$3.024 per On Demand Linux r5.12xlarge,0.037,0.11
$3.024 per On Demand Linux r6i.12xlarge,0.052,0.16
$3.06 per On Demand Linux c5.18xlarge,0.033,0.10
$3.06 per On Demand Linux p3.2xlarge,0.346,1.06
$3.072 per On Demand Linux m5.16xlarge,0.053,0.16
$3.072 per On Demand Linux m6i.16xlarge,0.033,0.10
$3.12624 per On Demand Linux r6idn.8xlarge,0.033,0.10
$3.144 per On Demand Linux r5ad.12xlarge,0.056,0.18
$3.154 per On Demand Linux d3en.6xlarge,0.054,0.17
$3.20 per On Demand Linux m4.16xlarge,0.033,0.11
$3.2256 per On Demand Linux c6id.16xlarge,0.035,0.11
$3.264 per On Demand Linux m5dn.12xlarge,0.039,0.13
$3.296 per On Demand Linux m5ad.16xlarge,0.037,0.12
$3.30 per On Demand Linux f1.4xlarge,0.039,0.13
$3.3345 per On Demand Linux x2iedn.4xlarge,0.041,0.14
$3.336 per On Demand Linux x1e.4xlarge,0.035,0.12
$3.336 per On Demand Linux x2iezn.4xlarge,0.087,0.29
$3.34152 per On Demand Linux m6in.12xlarge,0.039,0.13
$3.456 per On Demand Linux c5d.18xlarge,0.041,0.14
$3.456 per On Demand Linux r5d.12xlarge,0.036,0.12
$3.468 per On Demand Linux g4ad.16xlarge,0.086,0.30
$3.576 per On Demand Linux r5b.12xlarge,0.054,0.19
$3.576 per On Demand Linux r5n.12xlarge,0.041,0.15
$3.616 per On Demand Linux m5d.16xlarge,0.061,0.22
$3.616 per On Demand Linux r5a.16xlarge,0.063,0.23
$3.6288 per On Demand Linux c6in.16xlarge,0.036,0.13
$3.6288 per On Demand Linux r6a.16xlarge,0.038,0.14
$3.6288 per On Demand Linux r6id.12xlarge,0.037,0.14
$3.672 per On Demand Linux c6a.24xlarge,0.033,0.12
$3.696 per On Demand Linux c5a.24xlarge,0.038,0.14
$3.7968 per On Demand Linux m6id.16xlarge,0.036,0.14
$3.808 per On Demand Linux m5n.16xlarge,0.048,0.18
$3.81888 per On Demand Linux m6idn.12xlarge,0.044,0.17
$3.888 per On Demand Linux c5n.18xlarge,0.033,0.13
$3.912 per On Demand Linux g4dn.12xlarge,0.038,0.15
$3.9641 per On Demand Linux m5zn.12xlarge,0.041,0.16
$3.9641 per On Demand Linux m5zn.metal,0.09,0.36
$3.99552 per On Demand Linux d3.8xlarge,0.058,0.23
$4.008 per On Demand Linux r5dn.12xlarge,0.041,0.17
$4.032 per On Demand Linux r5.16xlarge,0.057,0.23
$4.032 per On Demand Linux r6i.16xlarge,0.033,0.13
$4.08 per On Demand Linux c5.24xlarge,0.033,0.14
$4.08 per On Demand Linux c6i.24xlarge,0.036,0.15
$4.096 per On Demand Linux g5.16xlarge,0.052,0.21
$4.128 per On Demand Linux c5ad.24xlarge,0.04,0.17
$4.128 per On Demand Linux m5a.24xlarge,0.033,0.14
$4.1472 per On Demand Linux m6a.24xlarge,0.041,0.17
$4.18392 per On Demand Linux r6in.12xlarge,0.041,0.17
$4.192 per On Demand Linux r5ad.16xlarge,0.037,0.15
$4.20576 per On Demand Linux d3en.8xlarge,0.044,0.19
$4.256 per On Demand Linux r4.16xlarge,0.036,0.15
$4.352 per On Demand Linux g4dn.16xlarge,0.056,0.25
$4.352 per On Demand Linux m5dn.16xlarge,0.044,0.19
$4.45536 per On Demand Linux m6in.16xlarge,0.041,0.18
$4.464 per On Demand Linux z1d.12xlarge,0.037,0.16
$4.464 per On Demand Linux z1d.metal,0.064,0.29
$4.56 per On Demand Linux g3.16xlarge,0.427,1.95
$4.608 per On Demand Linux c5d.24xlarge,0.033,0.15
$4.608 per On Demand Linux m5.24xlarge,0.035,0.16
$4.608 per On Demand Linux m6i.24xlarge,0.044,0.20
$4.608 per On Demand Linux r5d.16xlarge,0.061,0.28
$4.68936 per On Demand Linux r6idn.12xlarge,0.044,0.21
$4.721 per On Demand Linux inf1.24xlarge,0.045,0.21
$4.768 per On Demand Linux r5b.16xlarge,0.059,0.28
$4.768 per On Demand Linux r5n.16xlarge,0.054,0.26
$4.8384 per On Demand Linux c6id.24xlarge,0.039,0.19
$4.8384 per On Demand Linux r6id.16xlarge,0.047,0.23
$4.896 per On Demand Linux c6a.32xlarge,0.042,0.21
$4.944 per On Demand Linux m5ad.24xlarge,0.046,0.23
$4.992 per On Demand Linux i3.16xlarge,0.056,0.28
$5.004 per On Demand Linux x2iezn.6xlarge,0.033,0.17
$5.09184 per On Demand Linux m6idn.16xlarge,0.043,0.22
$5.344 per On Demand Linux r5dn.16xlarge,0.061,0.33
$5.424 per On Demand Linux i3en.12xlarge,0.034,0.19
$5.424 per On Demand Linux m5d.24xlarge,0.035,0.19
$5.424 per On Demand Linux r5a.24xlarge,0.056,0.30
$5.44 per On Demand Linux c6i.32xlarge,0.04,0.22
$5.4432 per On Demand Linux c6in.24xlarge,0.038,0.21
$5.4432 per On Demand Linux r6a.24xlarge,0.045,0.24
$5.491 per On Demand Linux i4i.16xlarge,0.052,0.28
